mach,alpha_deg,beta_deg,flap_deg,CL,CD,Cl_roll,Cm,Cn_yaw
2,20,-10,0,0.81935789248189905,0.29593221494333166,7.7562680846542102e-18,0.61166168913873298,0.10191624416251704
2,20,-10,5,0.7508097631585926,0.26156420620951987,8.5318948931196312e-18,0.4296382156209172,0.10191624416251704
2,20,-10,10,0.69773814392088807,0.2432191910595006,9.3075217015850522e-18,0.29919146440829103,0.10191624416251704
2,20,-10,15,0.66419298247612446,0.23628517346388289,9.3075217015850522e-18,0.22248407500081113,0.10191624416251704
2,20,-5,-15,1.0293213112315189,0.51347760563628364,1.2410028935446736e-17,1.4098845480154434,0.048029988731270574
2,20,-5,-10,0.94712911264019073,0.41466522171292058,1.551253616930842e-17,1.1146082605064787,0.048029988731270574
2,20,-5,-5,0.86238094398161047,0.3378535881288855,9.3075217015850522e-18,0.84427947423004535,0.048029988731270574
2,20,-5,0,0.78179793986429347,0.28282734748943228,1.0858775318515894e-17,0.61125356047006441,0.048029988731270574
2,20,-5,5,0.71165545590708934,0.2476599764021396,1.3961282552377578e-17,0.4249964197268099,0.048029988731270574
2,20,-5,10,0.65734944875981782,0.22888827623238162,1.3185655743912157e-17,0.29151561952807975,0.048029988731270574
2,20,-5,15,0.62302406349097328,0.22179298095939751,1.3767375850261223e-17,0.21302410000700969,0.048029988731270574
2,20,0,-15,1.0174917049900363,0.51042294672480215,1.2410028935446736e-17,1.4155123931012819,-4.6537608507925261e-18
2,20,0,-10,0.93467038542738179,0.41085422650653142,1.2410028935446736e-17,1.117975982271725,-4.6537608507925261e-18
2,20,0,-5,0.8492735317220661,0.33345465622828852,1.2410028935446736e-17,0.84557802749129507,-4.8476675529088814e-18
2,20,0,0,0.76807372383636874,0.27800723009248907,1.0858775318515894e-17,0.61076847134528178,-4.4719733175584432e-18
2,20,0,5,0.69739435063183242,0.24257067858373843,1.3185655743912157e-17,0.42308566885664328,-4.168994095501638e-18
2,20,0,10,0.64267267084712243,0.22365529482299931,1.0858775318515894e-17,0.28858317107452253,-4.4598541486761709e-18
2,20,0,15,0.60808454994044947,0.21650569027090508,1.1343542073806782e-17,0.20949085656502026,-4.5083308242052597e-18
2,20,5,-15,1.0293213112315189,0.51347760563628364,1.2410028935446736e-17,1.4098845480154432,-0.048029988731270491
2,20,5,-10,0.94712911264019051,0.41466522171292047,1.551253616930842e-17,1.1146082605064787,-0.048029988731270498
2,20,5,-5,0.86238094398161036,0.33785358812888544,2.1717550637031789e-17,0.84427947423004512,-0.048029988731270498
2,20,5,0,0.78179793986429336,0.28282734748943222,1.7063789786239262e-17,0.61125356047006429,-0.048029988731270498
2,20,5,5,0.71165545590708923,0.24765997640213955,2.0166297020100946e-17,0.42499641972680974,-0.048029988731270498
2,20,5,10,0.65734944875981771,0.22888827623238156,1.7839416594704683e-17,0.29151561952807958,-0.048029988731270498
2,20,5,15,0.62302406349097317,0.22179298095939748,1.8421136701053749e-17,0.21302410000700955,-0.048029988731270498
2,20,10,-15,1.0612550012494431,0.52133974019651486,1.551253616930842e-17,1.3921396124649454,-0.10191624416251702
2,20,10,-10,0.98093105004972714,0.42477338426227684,1.8615043403170104e-17,1.1035750222143381,-0.10191624416251702
